alyrata_scaff_1_10000k-10500k	289790	UKScandinavia_2n	LE_2n	289495	dxy_pixy	0.0125041
alyrata_scaff_1_10000k-10500k	289790	UKScandinavia_2n	PUWS_4n	289448	dxy_pixy	0.0124935
alyrata_scaff_1_10000k-10500k	289790	UKScandinavia_2n	CESiberia_2n	289507	dxy_pixy	0.0127503
alyrata_scaff_1_10000k-10500k	289790	LE_2n	.	289658	pi_pixy	0.00746886
alyrata_scaff_1_10000k-10500k	289790	PUWS_4n	LE_2n	289464	dxy_pixy	0.00930029
alyrata_scaff_1_10000k-10500k	289790	LE_2n	CESiberia_2n	289518	dxy_pixy	0.00882309
alyrata_scaff_1_10000k-10500k	289790	CESiberia_2n	.	289676	pi_pixy	0.00749526
alyrata_scaff_1_10000k-10500k	289790	PUWS_4n	CESiberia_2n	289475	dxy_pixy	0.00954623
alyrata_scaff_1_10000k-10500k	289790	PUWS_4n	.	289614	pi_pixy	0.00893565
alyrata_scaff_1_10000k-10500k	289790	UKScandinavia_2n	.	289710	pi_pixy	0.00844215
